id,intitule,degrealcool
1,Amaretto,28
2,"Jus d'ananas",0
3,Angostura,0
4,Armagnac,52
5,Bailey's,17
6,"Jus de banane",0
7,Bière,8
8,Cacao,0
9,Café,0
10,Calvados,40
11,Campari,28
12,Cannelle,0
13,"Liqueur de cassis",18
14,Champagne,12
15,"Jus de citron",0
16,"Liqueur de citron",18
17,"Lait de coco",0
18,Cognac,38
19,Cointreau,40
20,"Coca Cola",0
21,Crème,0
22,"Pisang Ambon",17
23,Banane,0
24,"Curaçao bleu",17
25,Get27,27
26,Get31,31
27,Gin,40
28,"Jus de goyave",0
29,"Grand Marnier",40
30,"Sirop de grenadine",0
31,Kirsch,45
32,Lait,0
33,Limoncello,28
34,Malibu,18
35,"Mandarine Napoléon",38
36,"Marie Brizard",25
37,"Martini Blanc",16
38,"Martini Dry",18
39,"Martini Rouge",16
40,Miel,0
41,"Noix de muscade",0
42,"Noilly Prat",18
43,Oeuf,0
44,"Jus d'orange",0
45,"Sirop d'orgeat",0
46,"Jus de pamplemousse",0
47,"Jus de papaye",0
48,"Jus de fruit de la passion",0
49,Passoa,17
50,Pastis,51
51,"Jus de pêche",0
52,"Sirop de pêche",0
53,Perrier,0
54,Porto,18
55,"Rhum ambré",54
56,"Rhum blanc",55
57,Tequila,35
58,Tonic,0
59,Vaiona,20
60,"Vin blanc",12
61,"Vin rouge",12
62,Vodka,40
63,Whisky,40
64,"Sucre en poudre",0
65,"Crème de cacao",20
66,Cognac,50
